circuit_name,iqm_fake_backend,iqm_fake_status,iqm_transpiled_depth,iqm_transpiled_ops,iqm_transpiled_size,meta,n_qubits,priority,raw_depth,raw_ops,raw_size,shots,source_claim,tier
iqm_smoke_bell_2q,garnet,passed,4,"{""cz"": 1, ""measure"": 2, ""r"": 3}",6,"{'experiment': 'iqm_smoke_bell', 'n_qubits': 2}",2,0,3,"{""cx"": 1, ""h"": 1, ""measure"": 2}",4,128,IQM account/backend/count-format smoke; not a paper claim.,smoke_account_probe
iqm_dla_min_n4_d4_even,garnet,passed,69,"{""cz"": 48, ""measure"": 4, ""r"": 67}",119,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 4, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,1,23,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 2}",46,256,Phase 1 DLA/parity IBM paper minimal cross-provider replication.,dla_parity_minimal
iqm_dla_min_n4_d4_odd,garnet,passed,69,"{""cz"": 48, ""measure"": 4, ""r"": 66}",118,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 4, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,1,23,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 1}",45,256,Phase 1 DLA/parity IBM paper minimal cross-provider replication.,dla_parity_minimal
iqm_dla_min_n4_d6_even,garnet,passed,99,"{""cz"": 72, ""measure"": 4, ""r"": 99}",175,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 6, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,1,33,"{""measure"": 4, ""rxx"": 18, ""ryy"": 18, ""rz"": 24, ""x"": 2}",66,256,Phase 1 DLA/parity IBM paper minimal cross-provider replication.,dla_parity_minimal
iqm_dla_min_n4_d6_odd,garnet,passed,99,"{""cz"": 72, ""measure"": 4, ""r"": 98}",174,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 6, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,1,33,"{""measure"": 4, ""rxx"": 18, ""ryy"": 18, ""rz"": 24, ""x"": 1}",65,256,Phase 1 DLA/parity IBM paper minimal cross-provider replication.,dla_parity_minimal
iqm_dla_min_n4_d10_even,garnet,passed,159,"{""cz"": 120, ""measure"": 4, ""r"": 163}",287,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 10, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,1,53,"{""measure"": 4, ""rxx"": 30, ""ryy"": 30, ""rz"": 40, ""x"": 2}",106,256,Phase 1 DLA/parity IBM paper minimal cross-provider replication.,dla_parity_minimal
iqm_dla_min_n4_d10_odd,garnet,passed,159,"{""cz"": 120, ""measure"": 4, ""r"": 162}",286,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 10, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,1,53,"{""measure"": 4, ""rxx"": 30, ""ryy"": 30, ""rz"": 40, ""x"": 1}",105,256,Phase 1 DLA/parity IBM paper minimal cross-provider replication.,dla_parity_minimal
iqm_dla_core_n4_d2_even,garnet,passed,39,"{""cz"": 24, ""measure"": 4, ""r"": 35}",63,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 2, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,13,"{""measure"": 4, ""rxx"": 6, ""ryy"": 6, ""rz"": 8, ""x"": 2}",26,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d2_odd,garnet,passed,39,"{""cz"": 24, ""measure"": 4, ""r"": 34}",62,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 2, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,13,"{""measure"": 4, ""rxx"": 6, ""ryy"": 6, ""rz"": 8, ""x"": 1}",25,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d4_even,garnet,passed,69,"{""cz"": 48, ""measure"": 4, ""r"": 67}",119,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 4, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,23,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 2}",46,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d4_odd,garnet,passed,69,"{""cz"": 48, ""measure"": 4, ""r"": 66}",118,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 4, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,23,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 1}",45,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d6_even,garnet,passed,99,"{""cz"": 72, ""measure"": 4, ""r"": 99}",175,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 6, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,33,"{""measure"": 4, ""rxx"": 18, ""ryy"": 18, ""rz"": 24, ""x"": 2}",66,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d6_odd,garnet,passed,99,"{""cz"": 72, ""measure"": 4, ""r"": 98}",174,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 6, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,33,"{""measure"": 4, ""rxx"": 18, ""ryy"": 18, ""rz"": 24, ""x"": 1}",65,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d8_even,garnet,passed,129,"{""cz"": 96, ""measure"": 4, ""r"": 131}",231,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 8, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,43,"{""measure"": 4, ""rxx"": 24, ""ryy"": 24, ""rz"": 32, ""x"": 2}",86,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d8_odd,garnet,passed,129,"{""cz"": 96, ""measure"": 4, ""r"": 130}",230,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 8, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,43,"{""measure"": 4, ""rxx"": 24, ""ryy"": 24, ""rz"": 32, ""x"": 1}",85,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d10_even,garnet,passed,159,"{""cz"": 120, ""measure"": 4, ""r"": 163}",287,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 10, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,53,"{""measure"": 4, ""rxx"": 30, ""ryy"": 30, ""rz"": 40, ""x"": 2}",106,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d10_odd,garnet,passed,159,"{""cz"": 120, ""measure"": 4, ""r"": 162}",286,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 10, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,53,"{""measure"": 4, ""rxx"": 30, ""ryy"": 30, ""rz"": 40, ""x"": 1}",105,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d14_even,garnet,passed,219,"{""cz"": 168, ""measure"": 4, ""r"": 227}",399,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 14, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,73,"{""measure"": 4, ""rxx"": 42, ""ryy"": 42, ""rz"": 56, ""x"": 2}",146,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d14_odd,garnet,passed,219,"{""cz"": 168, ""measure"": 4, ""r"": 226}",398,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 14, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,73,"{""measure"": 4, ""rxx"": 42, ""ryy"": 42, ""rz"": 56, ""x"": 1}",145,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d20_even,garnet,passed,309,"{""cz"": 240, ""measure"": 4, ""r"": 323}",567,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 20, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,103,"{""measure"": 4, ""rxx"": 60, ""ryy"": 60, ""rz"": 80, ""x"": 2}",206,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d20_odd,garnet,passed,309,"{""cz"": 240, ""measure"": 4, ""r"": 322}",566,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 20, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,103,"{""measure"": 4, ""rxx"": 60, ""ryy"": 60, ""rz"": 80, ""x"": 1}",205,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d30_even,garnet,passed,459,"{""cz"": 360, ""measure"": 4, ""r"": 483}",847,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 30, 'sector': 'even', 'initial': '0011', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,153,"{""measure"": 4, ""rxx"": 90, ""ryy"": 90, ""rz"": 120, ""x"": 2}",306,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
iqm_dla_core_n4_d30_odd,garnet,passed,459,"{""cz"": 360, ""measure"": 4, ""r"": 482}",846,"{'experiment': 'A_dla_parity_n4', 'n_qubits': 4, 'depth': 30, 'sector': 'odd', 'initial': '0001', 't_step': 0.3, 'paper_source': 'phase1_dla_parity'}",4,2,153,"{""measure"": 4, ""rxx"": 90, ""ryy"": 90, ""rz"": 120, ""x"": 1}",305,256,Phase 1 DLA/parity IBM paper one-replicate depth grid.,dla_parity_paper_core
