family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,n_repetitions,mean_expectation,stderr_expectation,readout_mitigated_mean_expectation,readout_mitigated_stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation,readout_mitigated_deviation_from_exact,readout_mitigated_absolute_deviation,readout_mitigation_delta,z_score_vs_exact,readout_mitigated_z_score_vs_exact,half_chain_purity_reference,parity_survival_reference
dla_parity,dla_even_shallow,0011,6,,XX_q2q3,IIXX,IIXX,3,-0.318359375,0.016639814998869868,-0.33359835880482097,0.017157488553384854,-0.14187435502038392,-0.17648501997961608,0.17648501997961608,-0.19172400378443705,0.19172400378443705,-0.015238983804820971,-10.606188830320677,-11.1743629137735,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,YY_q2q3,IIYY,IIYY,3,-0.2942708333333333,0.009114583333333334,-0.3087936196924716,0.00943407062191367,-0.14187435502038392,-0.1523964783129494,0.1523964783129494,-0.16691926467208767,0.16691926467208767,-0.014522786359138284,-16.720070763477874,-17.693238832065116,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,ZZ_q2q3,IIZZ,IIZZ,3,-0.302734375,0.000563818622255494,-0.3175758473540763,0.0005821228365838088,-0.4809184553268266,0.1781840803268266,0.1781840803268266,0.1633426079727503,0.1633426079727503,-0.01484147235407629,316.03085335142157,280.5981791254357,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,XX_q1q2,IXXI,IXXI,3,-0.06477864583333333,0.007336866972385837,-0.06600878560399118,0.0074923099891948475,-0.11866797134598192,0.05388932551264859,0.05388932551264859,0.052659185741990744,0.052659185741990744,-0.0012301397706578482,7.34500512486798,7.028431260577047,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,YY_q1q2,IYYI,IYYI,3,-0.0419921875,0.009618025197066508,-0.04287279998672192,0.009900875599799835,-0.11866797134598198,0.07667578384598198,0.07667578384598198,0.07579517135926006,0.07579517135926006,-0.0008806124867219225,7.9720922200711275,7.655400837557479,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,ZZ_q1q2,IZZI,IZZI,3,-0.26953125,0.02112627700467181,-0.2738938519766204,0.021596973670685096,-0.39428090566769763,0.12474965566769763,0.12474965566769763,0.12038705369107722,0.12038705369107722,-0.004362601976620417,5.904952190114274,5.574255704839145,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,XX_q0q1,XXII,XXII,3,-0.2936197916666667,0.007336866972385837,-0.3054705752214786,0.007663730169839948,-0.19228185029433123,-0.10133794137233545,0.10133794137233545,-0.11318872492714735,0.11318872492714735,-0.011850783554811894,-13.812154664074809,-14.7694037262159,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,YY_q0q1,YYII,YYII,3,-0.2708333333333333,0.012686963066344452,-0.28152334742865937,0.013286073381313046,-0.19228185029433123,-0.07855148303900208,0.07855148303900208,-0.08924149713432813,0.08924149713432813,-0.01069001409532605,-6.191511918827983,-6.716920385209291,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_shallow,0011,6,,ZZ_q0q1,ZZII,ZZII,3,-0.2936197916666667,0.025925440506200437,-0.30541621341688685,0.02721881779806649,-0.4809184553268266,0.1872986636601599,0.1872986636601599,0.17550224190993974,0.17550224190993974,-0.011796421750220165,7.22451229383604,6.4478274997824,0.6011084911996126,1.0000000000000038
dla_parity,dla_even_signal,0011,10,,XX_q2q3,IIXX,IIXX,3,-0.2900390625,0.0014917238590351043,-0.29887132242084746,0.0015825127012808842,-0.3126123935870248,0.022573331087024806,0.022573331087024806,0.013741071166177343,0.013741071166177343,-0.008832259920847463,15.132379193576735,8.683071646158249,0.5528498324338822,1.0000000000000053
dla_parity,dla_even_signal,0011,10,,YY_q2q3,IIYY,IIYY,3,-0.2854817708333333,0.012674428602820174,-0.2942626837265854,0.013206875268538993,-0.31261239358702475,0.027130622753691436,0.027130622753691436,0.018349709860439378,0.018349709860439378,-0.008780912893252057,2.1405795561982677,1.3894058577316533,0.5528498324338822,1.0000000000000053
dla_parity,dla_even_signal,0011,10,,ZZ_q2q3,IIZZ,IIZZ,3,-0.294921875,0.00963453684046142,-0.3040688943812254,0.010099021071170586,-0.4078062332359939,0.11288435823599391,0.11288435823599391,0.10373733885476849,0.10373733885476849,-0.009147019381225419,11.71663569357296,10.27201925054942,0.5528498324338822,1.0000000000000053
dla_parity,dla_even_signal,0011,10,,XX_q1q2,IXXI,IXXI,3,-0.26171875,0.01044206701324573,-0.2677367306009359,0.010553057231708372,-0.40326939964164343,0.14155064964164343,0.14155064964164343,0.13553266904070754,0.13553266904070754,-0.0060179806009358905,13.555807433728098,12.842976785293805,0.5528498324338822,1.0000000000000053
dla_parity,dla_even_signal,0011,10,,YY_q1q2,IYYI,IYYI,3,-0.2718098958333333,0.019856770833333336,-0.2775692548841716,0.020368515854054574,-0.40326939964164343,0.13145950380831012,0.13145950380831012,0.12570014475747182,0.12570014475747182,-0.0057593590508382975,6.620386814739814,6.171296213143082,0.5528498324338822,1.0000000000000053
