family,label,initial,depth,lambda_fim,basis_setting,mean_expectation,stderr_expectation,exact_expectation,deviation_from_exact,absolute_deviation
dla_parity,dla_odd_signal,0001,10,,XXII,0.431640625,0.0014917238590351043,-0.12445001747882631,0.5560906424788263,0.5560906424788263
dla_parity,dla_odd_signal,0001,10,,YYII,0.4296875,0.009618025197066508,-0.12445001747882625,0.5541375174788262,0.5541375174788262
dla_parity,dla_odd_shallow,0001,6,,IIYY,0.4889322916666667,0.020917088315647585,-0.02654094933154684,0.5154732409982136,0.5154732409982136
dla_parity,dla_odd_shallow,0001,6,,IIXX,0.4788411458333333,0.017912521474215633,-0.02654094933154684,0.5053820951648802,0.5053820951648802
dla_parity,dla_even_shallow,0011,6,,IIXX,-0.4560546875,0.008807128423482215,-0.14187435502038392,-0.3141803324796161,0.3141803324796161
dla_parity,dla_even_shallow,0011,6,,IIYY,-0.4475911458333333,0.004306235857852524,-0.14187435502038392,-0.3057167908129494,0.3057167908129494
fim_pair,fim_lambda4_feedback,0011,4,4.0,IXXI,0.17578125,0.016115747128237712,-0.09837333282391614,0.27415458282391614,0.27415458282391614
dla_parity,dla_even_shallow,0011,6,,XXII,-0.4534505208333333,0.0008612471715705049,-0.19228185029433123,-0.26116867053900206,0.26116867053900206
dla_parity,dla_even_shallow,0011,6,,YYII,-0.4501953125,0.01019561182510796,-0.19228185029433123,-0.2579134622056688,0.2579134622056688
dla_parity,dla_odd_shallow,0001,6,,XXII,-0.4485677083333333,0.01188485433823482,-0.20939229517376193,-0.2391754131595714,0.2391754131595714
dla_parity,dla_odd_shallow,0001,6,,YYII,-0.4375,0.011840191067365374,-0.20939229517376193,-0.22810770482623807,0.22810770482623807
fim_pair,fim_lambda4_feedback,0011,4,4.0,IYYI,0.11946614583333333,0.07170552346226775,-0.09837333282391614,0.21783947865724945,0.21783947865724945
