family,label,initial,depth,lambda_fim,basis_setting,pauli_label,observable,noise_scales,scale_expectations,readout_mitigated_scale_expectations,exact_expectation,scale1_expectation,scale1_absolute_deviation,linear_zne_expectation,linear_zne_fit_residual,linear_zne_absolute_deviation,readout_mitigated_linear_zne_expectation,readout_mitigated_linear_zne_fit_residual,readout_mitigated_linear_zne_absolute_deviation,quadratic_zne_expectation,quadratic_zne_fit_residual,quadratic_zne_absolute_deviation,readout_mitigated_quadratic_zne_expectation,readout_mitigated_quadratic_zne_fit_residual,readout_mitigated_quadratic_zne_absolute_deviation
dla_parity,dla_even_shallow,000011,6,,IIIIXX,IIIIXX,XX_q4_q5,"1,3,5","0.776041666667,0.807291666667,0.787109375","2.94564781829,2.35333163169,0.95287923925",-0.11922032245872527,0.7760416666666666,0.8952619891253919,0.781846788194444,0.012122707403154777,0.9010671106531692,3.5785293306853823,0.19047953042259708,3.6977496531441076,0.7411295572916664,2.7194799110210365e-16,0.8603498797503917,2.938754834399908,2.0025091597477093e-15,3.0579751568586335
dla_parity,dla_even_shallow,000011,6,,IIIIYY,IIIIYY,YY_q4_q5,"1,3,5","0.787109375,0.783203125,0.771484375","-0.358678835404,-0.0517952178138,-0.562379581819",-0.1192203224587253,0.787109375,0.9063296974587253,0.7923177083333331,0.0018414239093399413,0.9115380307920584,-0.17150898520061886,0.19267905106308086,0.05228866274189356,0.7861328124999994,1.9229626863835638e-16,0.9053531349587247,-0.8186711372972597,2.5308135189697445e-15,0.6994508148385344
dla_parity,dla_even_shallow,000011,6,,IIXXII,IIXXII,XX_q2_q3,"1,3,5","0.0149739583333,0.0735677083333,0.04296875","0.0359880662315,0.0589544246458,0.0572281338555",-0.07369004508922611,0.014973958333333334,0.08866400342255944,0.022840711805555525,0.02102292296496463,0.09653075689478163,0.034793490859590735,0.005820113232711579,0.10848353594881685,-0.047770182291666276,2.8285569264485223e-16,0.025919862797559833,0.015245143572502227,5.637184056103667e-17,0.08893518866172834
dla_parity,dla_even_shallow,000011,6,,IIYYII,IIYYII,YY_q2_q3,"1,3,5","0.0826822916667,0.0611979166667,0.0690104166667","0.089325553206,0.0756839560017,0.0936940027945",-0.07369004508922614,0.08268229166666667,0.1563723367558928,0.08121744791666664,0.006905339660024878,0.1549074930058928,0.08295816680931803,0.007460364035344636,0.15664821189854417,0.10441080729166655,7.90140677541366e-17,0.17810085238089268,0.10801571830700188,1.044681914182223e-16,0.18170576339622801
dla_parity,dla_even_shallow,000011,6,,XXIIII,XXIIII,XX_q0_q1,"1,3,5","-0.009765625,-0.013671875,-0.001953125","0.00681012590351,0.0432683719756,0.000233858078786",-0.000680407057801318,-0.009765625,0.009085217942198682,-0.014322916666666666,0.0036828478186799346,0.013642509608865348,0.02170298618785413,0.01873662320976222,0.022383393245655445,-0.0019531250000000655,4.6332193021846593e-17,0.0012727179421987474,-0.041228782120906096,2.503467311087825e-16,0.040548375063104776
dla_parity,dla_even_shallow,000011,6,,YYIIII,YYIIII,YY_q0_q1,"1,3,5","0.00260416666667,-0.00716145833333,-0.0299479166667","0.0340928720835,0.0647422446121,0.0155714405615",-0.0006804070578013227,0.0026041666666666665,0.0032845737244679893,0.01291232638888889,0.0030690398488999447,0.013592733446690212,0.05202659272717069,0.01881379604488102,0.05270699978497201,0.002604166666666705,2.2400781872046744e-17,0.003284573724468028,-0.011164380398010057,2.5635002971060003e-16,0.010483973340208735
dla_parity,dla_even_signal,000011,10,,IIIIXX,IIIIXX,XX_q4_q5,"1,3,5","0.641927083333,0.665364583333,0.636067708333","1.19471775934,2.08847397607,0.326517669562",-0.24487988112918024,0.6419270833333334,0.8868069644625136,0.6521809895833333,0.01242961138804478,0.8970608707125135,1.8543865356601048,0.6259574446880765,2.099266416789285,0.6104329427083331,6.409875621278546e-17,0.8553128238375134,-0.2480525452373089,7.395077143401847e-15,0.0031726641081286644
dla_parity,dla_even_signal,000011,10,,IIIIYY,IIIIYY,YY_q4_q5,"1,3,5","0.661458333333,0.651692708333,0.681640625","1.19873709633,0.0222679654828,3.0456010206",-0.24487988112918027,0.6614583333333334,0.9063382144625136,0.6497938368055555,0.009360571539144826,0.8946737179347357,0.03705408427425635,0.9899028684457969,0.2819339654034366,0.6812337239583326,2.3111135221866393e-16,0.9261136050875128,3.36189748149592,1.0940965919802712e-14,3.6067773626251003
dla_parity,dla_even_signal,000011,10,,IIXXII,IIXXII,XX_q2_q3,"1,3,5","0.0377604166667,0.04296875,0.0703125","0.000158667261862,0.0402699350448,0.0912214349891",-0.12339133879762967,0.037760416666666664,0.16115175546429633,0.025933159722222196,0.005217367743129906,0.14932449851985186,-0.024413730030184405,0.0025550672236429525,0.09897760876744527,0.0434570312499999,4.31477957672733e-17,0.1668483700476296,-0.01583187956911367,1.82235822420214e-17,0.10755945922851601
dla_parity,dla_even_signal,000011,10,,IIYYII,IIYYII,YY_q2_q3,"1,3,5","0.0169270833333,0.001953125,0.0240885416667","0.0497735716514,0.0211146168978,0.0166740183161",-0.1233913387976297,0.016927083333333332,0.14031842213096304,0.008951822916666663,0.008746763569364845,0.13234316171429636,0.054012067289951275,0.005708321292790716,0.17740340608758098,0.03833007812499985,9.825336557208114e-17,0.16172141692262954,0.07318493259273957,7.550864259272829e-17,0.19657627139036926
dla_parity,dla_even_signal,000011,10,,XXIIII,XXIIII,XX_q0_q1,"1,3,5","0.001953125,0.025390625,0.00520833333333","0.00521943401177,-0.00654318926311,-0.00470724421085",-0.04744785392495356,0.001953125,0.04940097892495356,0.008409288194444439,0.01028128349381482,0.055857142119398004,0.005434675512900508,0.0032052132928520895,0.05288252943785407,-0.026123046874999837,1.533121678202812e-16,0.021324807049953726,0.016200208771894077,5.1428529396300734e-17,0.06364806269684764
dla_parity,dla_even_signal,000011,10,,YYIIII,YYIIII,YY_q0_q1,"1,3,5","0.0169270833333,0.00911458333333,-0.0123697916667","0.0478078286464,0.0823505162699,-0.00683661504419",-0.04744785392495358,0.016927083333333332,0.06437493725828691,0.02652994791666666,0.0032224918413449434,0.07397780184162024,0.08209057605860862,0.029163398001947317,0.1295384299835622,0.015706380208333374,2.5277804148916368e-17,0.06315423413328695,-0.01586219726708196,3.458388536191767e-16,0.03158565665787162
dla_parity,dla_odd_shallow,000001,6,,IIIIXX,IIIIXX,XX_q4_q5,"1,3,5","0.794270833333,0.809895833333,0.807942708333","-4.52104997307,6.27368417433,-0.352005746139",-0.12593277463397157,0.7942708333333334,0.9202036079673049,0.7937825520833334,0.004143203796014953,0.9197153267173049,-2.6599070184874023,4.106033329845509,2.5339742438534305,0.7798665364583331,2.3111135221866393e-16,0.9057993110923047,-16.45107607221809,5.602102947335765e-14,16.32514329758412
dla_parity,dla_odd_shallow,000001,6,,IIIIYY,IIIIYY,YY_q4_q5,"1,3,5","0.810546875,0.7890625,0.77734375","2.74689276642,0.23494261517,1.78501722636",-0.12593277463397157,0.810546875,0.9364796496339716,0.8172200520833329,0.0023017798866749595,0.9431528267173045,2.3103575243622836,0.9574284182896546,2.436290298996255,0.8249511718749996,1.9229626863835638e-16,0.9508839465089711,5.526127127960562,1.0432171035157287e-14,5.652059902594534
dla_parity,dla_odd_shallow,000001,6,,IIXXII,IIXXII,XX_q2_q3,"1,3,5","-0.0338541666667,-0.0299479166667,0.00130208333333","-0.0379698597184,-0.0387212210539,0.00837581645705",-0.015320039879125053,-0.033854166666666664,0.018534126787541613,-0.047200520833333315,0.006444983682689886,0.031880480954208264,-0.057531011903378865,0.011277975764430424,0.042210972024253814,-0.02555338541666676,8.269186585318602e-17,0.010233345537541709,-0.01965102948321912,8.51311605951057e-17,0.0043309896040940685
dla_parity,dla_odd_shallow,000001,6,,IIYYII,IIYYII,YY_q2_q3,"1,3,5","0.0716145833333,0.0703125,0.0631510416667","0.080979217627,0.0772153630778,0.0558833016328",-0.015320039879125022,0.07161458333333333,0.08693462321245835,0.07470703124999997,0.0013810679320049757,0.09002707112912499,0.09018123110819376,0.004140866076473262,0.10550127098731878,0.07006835937499996,1.1331166295920986e-17,0.08538839925412497,0.07627306731556086,4.955361418800576e-17,0.09159310719468587
dla_parity,dla_odd_shallow,000001,6,,XXIIII,XXIIII,XX_q0_q1,"1,3,5","-0.001953125,-0.005859375,0.001953125","-0.00114642397922,-0.0426365811218,-0.0358696473372",-9.265673277367845e-06,-0.001953125,0.001943859326722632,-0.004882812499999999,0.0027621358640099515,0.004873546826722632,-0.0005084666275822979,0.011374305411644088,0.0004992009543049301,0.004394531249999959,2.767414098843425e-17,0.004403796923277327,0.03769506368975427,1.852824642158464e-16,0.037704329363031634
dla_parity,dla_odd_shallow,000001,6,,YYIIII,YYIIII,YY_q0_q1,"1,3,5","-0.0169270833333,-0.0078125,-0.00130208333333","-0.00850719907198,-0.0201209506686,-0.0202667511396",-9.265673277361556e-06,-0.016927083333333332,0.01691781766005597,-0.020399305555555552,0.0006138079697799888,0.02039003988227819,-0.007478636242694265,0.0027030220024189186,0.007469370569416904,-0.02246093749999998,2.014049628439565e-17,0.022451671826722617,0.0016001583984382637,3.747431010415481e-17,0.0016094240717156253
dla_parity,dla_odd_signal,000001,10,,IIIIXX,IIIIXX,XX_q4_q5,"1,3,5","0.6875,0.693359375,0.703125","6.95612961878,2.19564704523,-7.93535120634",-0.0682455254498346,0.6875,0.7557455254498346,0.6829427083333333,0.0009207119546699837,0.7511882337831679,11.574085771393335,1.2658426847989341,11.64233129684317,0.6860351562499998,4.2998752849492583e-16,0.7542806816998344,7.322427526293973,6.3893310952859035e-15,7.390673051743808
dla_parity,dla_odd_signal,000001,10,,IIIIYY,IIIIYY,YY_q4_q5,"1,3,5","0.6953125,0.69921875,0.682942708333","0.20136522753,-4.41251107768,0.685887384341",-0.06824552544983468,0.6953125,0.7635580254498346,0.701768663194444,0.004757011765794907,0.7700141886442786,-1.538477772878102,2.2892051162186253,1.4702322474282674,0.6857910156249997,9.064933036736789e-17,0.7540365410748343,6.150406417846219,2.6100952335296416e-14,6.218651943296054
dla_parity,dla_odd_signal,000001,10,,IIXXII,IIXXII,XX_q2_q3,"1,3,5","0.0234375,0,0.009765625","0.0182471439917,0.0227111601735,0.0314028291181",-0.1824761867373766,0.0234375,0.2059136867373766,0.021321614583333332,0.007826051614694862,0.20379780132070993,0.014253613916310023,0.0009964673123855122,0.19672980065368662,0.047607421874999827,1.2093399238919788e-16,0.23008360861237642,0.01760050568694803,6.334314525508456e-18,0.20007669242432463
dla_parity,dla_odd_signal,000001,10,,IIYYII,IIYYII,YY_q2_q3,"1,3,5","0.0598958333333,0.0520833333333,0.0625","0.0598176591153,0.0629353527048,0.0732092346587",-0.1824761867373766,0.059895833333333336,0.24237202007070993,0.05620659722222221,0.004296655788459922,0.2386827839595988,0.055277067168714944,0.0016867297732743604,0.23775325390609153,0.07063802083333323,5.4783581755882326e-17,0.2531142075707098,0.06094238295709477,1.791614702062191e-17,0.24341856969447134
dla_parity,dla_odd_signal,000001,10,,XXIIII,XXIIII,XX_q0_q1,"1,3,5","-0.009765625,0.0104166666667,0.001953125","-0.0371143867142,0.0148993362216,0.0223315701483",-0.005699048122744132,-0.009765625,0.004066576877255868,-0.007921006944444446,0.00675188766757988,0.002221958821700314,-0.04454562776162663,0.010507957731239971,0.038846579638882495,-0.0305989583333332,1.1477613618392646e-16,0.024899910210589068,-0.079839306560488,1.6467085887874838e-16,0.07414025843774387
