family,label,initial,depth,lambda_fim,observable,pauli_label,basis_setting,exact_expectation
dla_parity,dla_even_shallow,000011,6,,XX_q4_q5,IIIIXX,IIIIXX,-0.11922032245872527
dla_parity,dla_even_shallow,000011,6,,YY_q4_q5,IIIIYY,IIIIYY,-0.1192203224587253
dla_parity,dla_even_shallow,000011,6,,XX_q2_q3,IIXXII,IIXXII,-0.07369004508922611
dla_parity,dla_even_shallow,000011,6,,YY_q2_q3,IIYYII,IIYYII,-0.07369004508922614
dla_parity,dla_even_shallow,000011,6,,XX_q0_q1,XXIIII,XXIIII,-0.000680407057801318
dla_parity,dla_even_shallow,000011,6,,YY_q0_q1,YYIIII,YYIIII,-0.0006804070578013227
dla_parity,dla_even_signal,000011,10,,XX_q4_q5,IIIIXX,IIIIXX,-0.24487988112918024
dla_parity,dla_even_signal,000011,10,,YY_q4_q5,IIIIYY,IIIIYY,-0.24487988112918027
dla_parity,dla_even_signal,000011,10,,XX_q2_q3,IIXXII,IIXXII,-0.12339133879762967
dla_parity,dla_even_signal,000011,10,,YY_q2_q3,IIYYII,IIYYII,-0.1233913387976297
dla_parity,dla_even_signal,000011,10,,XX_q0_q1,XXIIII,XXIIII,-0.04744785392495356
dla_parity,dla_even_signal,000011,10,,YY_q0_q1,YYIIII,YYIIII,-0.04744785392495358
dla_parity,dla_odd_shallow,000001,6,,XX_q4_q5,IIIIXX,IIIIXX,-0.12593277463397157
dla_parity,dla_odd_shallow,000001,6,,YY_q4_q5,IIIIYY,IIIIYY,-0.12593277463397157
dla_parity,dla_odd_shallow,000001,6,,XX_q2_q3,IIXXII,IIXXII,-0.015320039879125053
dla_parity,dla_odd_shallow,000001,6,,YY_q2_q3,IIYYII,IIYYII,-0.015320039879125022
dla_parity,dla_odd_shallow,000001,6,,XX_q0_q1,XXIIII,XXIIII,-9.265673277367845e-06
dla_parity,dla_odd_shallow,000001,6,,YY_q0_q1,YYIIII,YYIIII,-9.265673277361556e-06
dla_parity,dla_odd_signal,000001,10,,XX_q4_q5,IIIIXX,IIIIXX,-0.0682455254498346
dla_parity,dla_odd_signal,000001,10,,YY_q4_q5,IIIIYY,IIIIYY,-0.06824552544983468
dla_parity,dla_odd_signal,000001,10,,XX_q2_q3,IIXXII,IIXXII,-0.1824761867373766
dla_parity,dla_odd_signal,000001,10,,YY_q2_q3,IIYYII,IIYYII,-0.1824761867373766
dla_parity,dla_odd_signal,000001,10,,XX_q0_q1,XXIIII,XXIIII,-0.005699048122744132
dla_parity,dla_odd_signal,000001,10,,YY_q0_q1,YYIIII,YYIIII,-0.005699048122744116
fim_pair,fim_lambda0_reference,000011,4,0.0,XX_q4_q5,IIIIXX,IIIIXX,-0.03409923454926813
fim_pair,fim_lambda0_reference,000011,4,0.0,YY_q4_q5,IIIIYY,IIIIYY,-0.03409923454926814
fim_pair,fim_lambda0_reference,000011,4,0.0,XX_q2_q3,IIXXII,IIXXII,-0.01973251045304026
fim_pair,fim_lambda0_reference,000011,4,0.0,YY_q2_q3,IIYYII,IIYYII,-0.019732510453040256
fim_pair,fim_lambda0_reference,000011,4,0.0,XX_q0_q1,XXIIII,XXIIII,-6.747743926172713e-06
fim_pair,fim_lambda0_reference,000011,4,0.0,YY_q0_q1,YYIIII,YYIIII,-6.747743926249139e-06
fim_pair,fim_lambda4_feedback,000011,4,4.0,XX_q4_q5,IIIIXX,IIIIXX,-0.03409923454926825
fim_pair,fim_lambda4_feedback,000011,4,4.0,YY_q4_q5,IIIIYY,IIIIYY,-0.03409923454926825
fim_pair,fim_lambda4_feedback,000011,4,4.0,XX_q2_q3,IIXXII,IIXXII,-0.019732510453040322
fim_pair,fim_lambda4_feedback,000011,4,4.0,YY_q2_q3,IIYYII,IIYYII,-0.019732510453040315
fim_pair,fim_lambda4_feedback,000011,4,4.0,XX_q0_q1,XXIIII,XXIIII,-6.7477439262317746e-06
fim_pair,fim_lambda4_feedback,000011,4,4.0,YY_q0_q1,YYIIII,YYIIII,-6.747743926190109e-06
