family,label,n_qubits,initial,depth,target_observable,noise_model,p_x,p_z,p_readout,realistic,decoder,seed,trials,failures,logical_failure_rate,logical_failure_ci_low,logical_failure_ci_high,syndrome_rate,retained_fraction,decoder_runtime_ms
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,0,160,0,0.0,0.0,0.0,0.0,1.0,0.4794290289282799
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,1,160,0,0.0,0.0,0.0,0.0,1.0,0.46553811989724636
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,2,160,0,0.0,0.0,0.0,0.0,1.0,0.46637794002890587
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,3,160,0,0.0,0.0,0.0,0.0,1.0,0.5149249918758869
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,4,160,0,0.0,0.0,0.0,0.0,1.0,0.4714350216090679
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,5,160,0,0.0,0.0,0.0,0.0,1.0,0.4501070361584425
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,6,160,0,0.0,0.0,0.0,0.0,1.0,0.4440059419721365
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,7,160,0,0.0,0.0,0.0,0.0,1.0,0.45384117402136326
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,8,160,0,0.0,0.0,0.0,0.0,1.0,0.44708698987960815
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,9,160,0,0.0,0.0,0.0,0.0,1.0,0.4547338467091322
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,10,160,0,0.0,0.0,0.0,0.0,1.0,0.44771493412554264
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,11,160,0,0.0,0.0,0.0,0.0,1.0,0.46008918434381485
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,12,160,0,0.0,0.0,0.0,0.0,1.0,0.6095231510698795
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,13,160,0,0.0,0.0,0.0,0.0,1.0,0.881711021065712
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,14,160,0,0.0,0.0,0.0,0.0,1.0,0.9567050728946924
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,15,160,0,0.0,0.0,0.0,0.0,1.0,0.9209141135215759
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,16,160,0,0.0,0.0,0.0,0.0,1.0,0.8698140736669302
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,17,160,0,0.0,0.0,0.0,0.0,1.0,0.9089058730751276
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,18,160,0,0.0,0.0,0.0,0.0,1.0,0.8616140112280846
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,unencoded_physical,19,160,0,0.0,0.0,0.0,0.0,1.0,0.8546467870473862
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,0,160,0,0.0,0.0,0.0,0.0,1.0,8.18918482400477
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,1,160,0,0.0,0.0,0.0,0.0,1.0,5.407803924754262
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,2,160,0,0.0,0.0,0.0,0.0,1.0,4.698884906247258
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,3,160,0,0.0,0.0,0.0,0.0,1.0,4.761304939165711
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,4,160,0,0.0,0.0,0.0,0.0,1.0,4.5019639655947685
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,5,160,0,0.0,0.0,0.0,0.0,1.0,4.539990797638893
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,6,160,0,0.0,0.0,0.0,0.0,1.0,4.229733953252435
dla_parity,n4_even_signal,4,0011,6,parity_survival,ideal,0.0,0.0,0.0,False,standard_mwpm,7,160,0,0.0,0.0,0.0,0.0,1.0,4.241112153977156
