n_qubits,family,label,initial,depth,method,seed,basis_gates,raw_depth,raw_two_qubit_gates,transpiled_depth,transpiled_size,transpiled_two_qubit_gates,ops
4,dla_parity,n4_even_signal,0011,6,generic_pauli,0,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,generic_pauli,1,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,generic_pauli,2,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,generic_pauli,3,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,generic_pauli,4,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,current_xy_compiler,0,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_even_signal,0011,6,current_xy_compiler,1,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_even_signal,0011,6,current_xy_compiler,2,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_even_signal,0011,6,current_xy_compiler,3,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_even_signal,0011,6,current_xy_compiler,4,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_even_signal,0011,6,native_targeted_rxx_ryy,0,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,native_targeted_rxx_ryy,1,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,native_targeted_rxx_ryy,2,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,native_targeted_rxx_ryy,3,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,native_targeted_rxx_ryy,4,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,generic_pauli,0,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,generic_pauli,1,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,generic_pauli,2,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,generic_pauli,3,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,generic_pauli,4,rz sx x cx,188,72,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,current_xy_compiler,0,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_odd_signal,0001,6,current_xy_compiler,1,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_odd_signal,0001,6,current_xy_compiler,2,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_odd_signal,0001,6,current_xy_compiler,3,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_odd_signal,0001,6,current_xy_compiler,4,rz sx x cx,45,36,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,dla_parity,n4_odd_signal,0001,6,native_targeted_rxx_ryy,0,rz sx x cx,32,36,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,native_targeted_rxx_ryy,1,rz sx x cx,32,36,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,native_targeted_rxx_ryy,2,rz sx x cx,32,36,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,native_targeted_rxx_ryy,3,rz sx x cx,32,36,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_odd_signal,0001,6,native_targeted_rxx_ryy,4,rz sx x cx,32,36,109,239,36,"{""cx"": 36, ""rz"": 105, ""sx"": 88, ""x"": 10}"
4,popcount_control,n4_even_control,0101,10,generic_pauli,0,rz sx x cx,305,120,173,390,60,"{""cx"": 60, ""rz"": 168, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,generic_pauli,1,rz sx x cx,305,120,173,390,60,"{""cx"": 60, ""rz"": 168, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,generic_pauli,2,rz sx x cx,305,120,173,390,60,"{""cx"": 60, ""rz"": 168, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,generic_pauli,3,rz sx x cx,305,120,173,390,60,"{""cx"": 60, ""rz"": 168, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,generic_pauli,4,rz sx x cx,305,120,173,390,60,"{""cx"": 60, ""rz"": 168, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,current_xy_compiler,0,rz sx x cx,74,60,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,popcount_control,n4_even_control,0101,10,current_xy_compiler,1,rz sx x cx,74,60,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,popcount_control,n4_even_control,0101,10,current_xy_compiler,2,rz sx x cx,74,60,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,popcount_control,n4_even_control,0101,10,current_xy_compiler,3,rz sx x cx,74,60,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,popcount_control,n4_even_control,0101,10,current_xy_compiler,4,rz sx x cx,74,60,5,16,0,"{""rz"": 10, ""sx"": 6}"
4,popcount_control,n4_even_control,0101,10,native_targeted_rxx_ryy,0,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,native_targeted_rxx_ryy,1,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,native_targeted_rxx_ryy,2,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,native_targeted_rxx_ryy,3,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
4,popcount_control,n4_even_control,0101,10,native_targeted_rxx_ryy,4,rz sx x cx,53,60,173,391,60,"{""cx"": 60, ""rz"": 169, ""sx"": 144, ""x"": 18}"
6,dla_parity,n6_even_probe,000011,4,generic_pauli,0,rz sx x cx,158,80,95,265,40,"{""cx"": 40, ""rz"": 117, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,generic_pauli,1,rz sx x cx,158,80,95,265,40,"{""cx"": 40, ""rz"": 117, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,generic_pauli,2,rz sx x cx,158,80,95,265,40,"{""cx"": 40, ""rz"": 117, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,generic_pauli,3,rz sx x cx,158,80,95,265,40,"{""cx"": 40, ""rz"": 117, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,generic_pauli,4,rz sx x cx,158,80,95,265,40,"{""cx"": 40, ""rz"": 117, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,current_xy_compiler,0,rz sx x cx,37,40,5,26,0,"{""rz"": 16, ""sx"": 10}"
6,dla_parity,n6_even_probe,000011,4,current_xy_compiler,1,rz sx x cx,37,40,5,26,0,"{""rz"": 16, ""sx"": 10}"
6,dla_parity,n6_even_probe,000011,4,current_xy_compiler,2,rz sx x cx,37,40,5,26,0,"{""rz"": 16, ""sx"": 10}"
6,dla_parity,n6_even_probe,000011,4,current_xy_compiler,3,rz sx x cx,37,40,5,26,0,"{""rz"": 16, ""sx"": 10}"
6,dla_parity,n6_even_probe,000011,4,current_xy_compiler,4,rz sx x cx,37,40,5,26,0,"{""rz"": 16, ""sx"": 10}"
6,dla_parity,n6_even_probe,000011,4,native_targeted_rxx_ryy,0,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,native_targeted_rxx_ryy,1,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,native_targeted_rxx_ryy,2,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,native_targeted_rxx_ryy,3,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,dla_parity,n6_even_probe,000011,4,native_targeted_rxx_ryy,4,rz sx x cx,26,40,96,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,popcount_control,n6_odd_probe,000001,4,generic_pauli,0,rz sx x cx,158,80,95,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,popcount_control,n6_odd_probe,000001,4,generic_pauli,1,rz sx x cx,158,80,95,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,popcount_control,n6_odd_probe,000001,4,generic_pauli,2,rz sx x cx,158,80,95,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,popcount_control,n6_odd_probe,000001,4,generic_pauli,3,rz sx x cx,158,80,95,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,popcount_control,n6_odd_probe,000001,4,generic_pauli,4,rz sx x cx,158,80,95,266,40,"{""cx"": 40, ""rz"": 118, ""sx"": 96, ""x"": 12}"
6,popcount_control,n6_odd_probe,000001,4,current_xy_compiler,0,rz sx x cx,37,40,5,26,0,"{""rz"": 16, ""sx"": 10}"
6,popcount_control,n6_odd_probe,000001,4,current_xy_compiler,1,rz sx x cx,37,40,5,26,0,"{""rz"": 16, ""sx"": 10}"
