comparison,layout_id,depth,left_label,right_label,left_mean_leakage,right_mean_leakage,difference,relative_to_right,welch_t,welch_p,n_left,n_right
original_E0_minus_O0,L1,6,E0,O0,0.115264892578125,0.150543212890625,-0.0352783203125,-0.2343401581187918,-10.309811217936966,9.237536732994019e-08,8,8
within_even_E0_minus_E1,L1,6,E0,E1,0.115264892578125,0.14453125,-0.029266357421875,-0.20249155405405406,-10.333013039324575,7.97913083054589e-08,8,8
within_odd_O0_minus_O1,L1,6,O0,O1,0.150543212890625,0.119842529296875,0.03070068359375,0.25617519735166794,9.684980677673137,4.831947983345954e-07,8,8
excitation_inversion_E0_minus_O3,L1,6,E0,O3,0.115264892578125,0.12823486328125,-0.012969970703125,-0.101142313184198,-4.505895152803827,0.0005133964251427559,8,8
original_E0_minus_O0,L1,8,E0,O0,0.136871337890625,0.148956298828125,-0.0120849609375,-0.08113091579594345,-7.896122133434189,6.477739362127609e-06,8,8
within_even_E0_minus_E1,L1,8,E0,E1,0.136871337890625,0.156494140625,-0.019622802734375,-0.12539001560062402,-9.196042173388241,3.951328495809527e-07,8,8
within_odd_O0_minus_O1,L1,8,O0,O1,0.148956298828125,0.14483642578125,0.004119873046875,0.028445006321112517,1.9006545218678044,0.08989594112914112,8,8
excitation_inversion_E0_minus_O3,L1,8,E0,O3,0.136871337890625,0.1495361328125,-0.012664794921875,-0.08469387755102041,-7.389370066618015,4.228187554287688e-06,8,8
original_E0_minus_O0,L1,10,E0,O0,0.148284912109375,0.151214599609375,-0.0029296875,-0.019374369323915237,-1.1099299038223087,0.2883760303058426,8,8
within_even_E0_minus_E1,L1,10,E0,E1,0.148284912109375,0.168853759765625,-0.02056884765625,-0.12181456714259895,-8.0884252312471,2.430398135610735e-06,8,8
within_odd_O0_minus_O1,L1,10,O0,O1,0.151214599609375,0.164886474609375,-0.013671875,-0.08291689801961873,-4.945006866437083,0.00026034265255319057,8,8
excitation_inversion_E0_minus_O3,L1,10,E0,O3,0.148284912109375,0.160675048828125,-0.01239013671875,-0.07711301044634378,-5.6137292783065655,6.703942969304241e-05,8,8
original_E0_minus_O0,L1,14,E0,O0,0.179168701171875,0.224334716796875,-0.045166015625,-0.20133315195211535,-11.739167630588508,1.7632711472564258e-08,8,8
within_even_E0_minus_E1,L1,14,E0,E1,0.179168701171875,0.2174072265625,-0.038238525390625,-0.17588433464345873,-11.588871885698834,3.3289179117617814e-07,8,8
within_odd_O0_minus_O1,L1,14,O0,O1,0.224334716796875,0.1842041015625,0.040130615234375,0.2178595096090126,13.564941811611323,9.884370565579868e-09,8,8
excitation_inversion_E0_minus_O3,L1,14,E0,O3,0.179168701171875,0.19110107421875,-0.011932373046875,-0.06244011497923986,-3.503482158742829,0.004866664652610505,8,8
original_E0_minus_O0,L2,6,E0,O0,0.21185302734375,0.146942138671875,0.064910888671875,0.44174454828660437,24.201950791328905,1.0133409480976942e-12,8,8
within_even_E0_minus_E1,L2,6,E0,E1,0.21185302734375,0.144317626953125,0.067535400390625,0.4679636286741383,24.037516746180696,8.798330756576329e-13,8,8
within_odd_O0_minus_O1,L2,6,O0,O1,0.146942138671875,0.147857666015625,-0.00091552734375,-0.006191950464396285,-0.32251938918145534,0.7520234900450402,8,8
excitation_inversion_E0_minus_O3,L2,6,E0,O3,0.21185302734375,0.205657958984375,0.006195068359375,0.030123163674135627,1.6439922605346728,0.12665223547627533,8,8
original_E0_minus_O0,L2,8,E0,O0,0.27252197265625,0.174835205078125,0.097686767578125,0.5587362541455752,46.112650519166856,1.354440028600479e-16,8,8
within_even_E0_minus_E1,L2,8,E0,E1,0.27252197265625,0.181427001953125,0.091094970703125,0.5021026072329688,30.35662986449179,2.1098661238834128e-12,8,8
within_odd_O0_minus_O1,L2,8,O0,O1,0.174835205078125,0.133453369140625,0.0413818359375,0.31008461010747773,20.65617223580862,6.978246007390224e-12,8,8
excitation_inversion_E0_minus_O3,L2,8,E0,O3,0.27252197265625,0.24005126953125,0.032470703125,0.13526570048309178,9.85813230236464,1.0208813570901432e-06,8,8
original_E0_minus_O0,L2,10,E0,O0,0.239410400390625,0.20782470703125,0.031585693359375,0.15198237885462554,9.374676957269658,3.4454331095533092e-06,8,8
within_even_E0_minus_E1,L2,10,E0,E1,0.239410400390625,0.25152587890625,-0.012115478515625,-0.04816792040766804,-3.4029067482733404,0.0073219476174602284,8,8
within_odd_O0_minus_O1,L2,10,O0,O1,0.20782470703125,0.194793701171875,0.013031005859375,0.06689644367852107,3.4361020754172995,0.004531680196040467,8,8
excitation_inversion_E0_minus_O3,L2,10,E0,O3,0.239410400390625,0.221923828125,0.017486572265625,0.07879537953795379,8.496184454646887,7.15287857454198e-07,8,8
original_E0_minus_O0,L2,14,E0,O0,0.20947265625,0.253326416015625,-0.043853759765625,-0.17311167329237442,-13.953711243359542,8.017400667805967e-09,8,8
within_even_E0_minus_E1,L2,14,E0,E1,0.20947265625,0.27197265625,-0.0625,-0.22980251346499103,-19.77817724243167,1.1829054331686562e-10,8,8
within_odd_O0_minus_O1,L2,14,O0,O1,0.253326416015625,0.251861572265625,0.00146484375,0.0058160668847691745,0.5147746447098835,0.6152908831018866,8,8
excitation_inversion_E0_minus_O3,L2,14,E0,O3,0.20947265625,0.20416259765625,0.00531005859375,0.02600896860986547,1.8561121950613435,0.09457366624012702,8,8
original_E0_minus_O0,L3,6,E0,O0,0.10821533203125,0.0985107421875,0.00970458984375,0.09851301115241635,6.4490591776879205,2.787959660659887e-05,8,8
within_even_E0_minus_E1,L3,6,E0,E1,0.10821533203125,0.12054443359375,-0.0123291015625,-0.10227848101265823,-6.139359840014547,3.225423174053764e-05,8,8
within_odd_O0_minus_O1,L3,6,O0,O1,0.0985107421875,0.1036376953125,-0.005126953125,-0.04946996466431095,-2.5093400234705396,0.031438330892453424,8,8
excitation_inversion_E0_minus_O3,L3,6,E0,O3,0.10821533203125,0.119537353515625,-0.011322021484375,-0.09471534337503192,-5.490339019115072,0.000102713848632179,8,8
original_E0_minus_O0,L3,8,E0,O0,0.133056640625,0.120330810546875,0.012725830078125,0.10575703778848593,5.3225231500004835,0.0001089218465827369,8,8
within_even_E0_minus_E1,L3,8,E0,E1,0.133056640625,0.1397705078125,-0.0067138671875,-0.048034934497816595,-3.1671424177431806,0.007749532538836863,8,8
within_odd_O0_minus_O1,L3,8,O0,O1,0.120330810546875,0.126922607421875,-0.006591796875,-0.051935561433036785,-2.182852471562915,0.04966118037357349,8,8
excitation_inversion_E0_minus_O3,L3,8,E0,O3,0.133056640625,0.14166259765625,-0.00860595703125,-0.06074967686342094,-3.3943188975419085,0.0043809337301274395,8,8
original_E0_minus_O0,L3,10,E0,O0,0.1488037109375,0.14361572265625,0.00518798828125,0.03612409689757756,1.550883903060555,0.14479100430254815,8,8
within_even_E0_minus_E1,L3,10,E0,E1,0.1488037109375,0.160400390625,-0.0115966796875,-0.07229832572298325,-4.826449680580337,0.00042653598488214515,8,8
within_odd_O0_minus_O1,L3,10,O0,O1,0.14361572265625,0.156829833984375,-0.013214111328125,-0.08425763767269896,-3.2681738517915595,0.005721018631685107,8,8
excitation_inversion_E0_minus_O3,L3,10,E0,O3,0.1488037109375,0.1571044921875,-0.00830078125,-0.05283605283605284,-2.5367282195068013,0.024485915036751515,8,8
