n_qubits,family,label,initial,depth,lambda_fim,optimise,method,resource_seed,basis_gates,raw_depth,raw_two_qubit_gates,transpiled_depth,transpiled_size,transpiled_two_qubit_gates,ops
4,dla_parity,n4_even_signal,0011,6,,True,trotter_reference,0,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,,True,trotter_reference,1,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,,True,trotter_reference,2,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,,True,trotter_reference,3,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,,True,trotter_reference,4,rz sx x cx,32,36,109,240,36,"{""cx"": 36, ""rz"": 106, ""sx"": 88, ""x"": 10}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_topology_informed,0,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_topology_informed,1,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_topology_informed,2,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_topology_informed,3,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_topology_informed,4,rz sx x cx,13,12,32,81,12,"{""cx"": 12, ""rz"": 42, ""sx"": 27}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_efficient_su2,0,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_efficient_su2,1,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_efficient_su2,2,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_efficient_su2,3,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_efficient_su2,4,rz sx x cx,11,6,20,66,6,"{""cx"": 6, ""rz"": 36, ""sx"": 24}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_two_local,0,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_two_local,1,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_two_local,2,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
4,dla_parity,n4_even_signal,0011,6,,True,vqs_two_local,3,rz sx x cx,11,6,35,94,6,"{""cx"": 6, ""rz"": 54, ""sx"": 34}"
