ansatz,build_max_ms,build_mean_ms,build_median_ms,build_min_ms,build_repeats,build_stderr_ms,build_stdev_ms,n_qubits,parameters,raw_depth,raw_two_qubit_gates,reps,transpiled_depth,transpiled_two_qubit_gates
knm_informed,0.160093,0.1149245,0.112118,0.107814,20.0,0.0025176812551694428,0.011259412864471737,4,8,7,6,1,20,6
two_local,0.473165,0.2061145,0.1875815,0.176095,20.0,0.014583563220012634,0.06521967742822794,4,16,9,6,1,24,6
efficient_su2,0.348325,0.21726755,0.1880715,0.173734,20.0,0.012460530662746142,0.05572518719524176,4,16,7,3,1,13,3
knm_informed,0.229815,0.17133535,0.1645695,0.154342,20.0,0.004178205877416638,0.018685504731785516,6,12,11,15,1,28,15
two_local,0.266796,0.20480005,0.20120949999999999,0.183682,20.0,0.004179311897829844,0.018690451005442376,6,24,13,15,1,32,15
efficient_su2,0.28216,0.20584695,0.1976395,0.190076,20.0,0.0045732931768526905,0.020452388848957167,6,24,9,5,1,15,5
knm_informed,0.58143,0.3042917,0.25955249999999996,0.217499,20.0,0.024089254720627267,0.10773042216526056,8,16,15,28,1,36,28
two_local,0.305917,0.2344047,0.2277515,0.220731,20.0,0.004235595763165716,0.018942160103297283,8,32,17,28,1,40,28
efficient_su2,0.302117,0.2243394,0.22147699999999998,0.203787,20.0,0.004775497463422832,0.021356673909182538,8,32,11,7,1,17,7
knm_informed,0.488879,0.40902679999999997,0.40290899999999996,0.364061,20.0,0.008114973698306762,0.03629126565007358,12,24,23,66,1,52,66
two_local,0.366544,0.2726228,0.266394,0.248958,20.0,0.0057013950239347,0.02549741368019406,12,48,25,66,1,56,66
efficient_su2,0.29673,0.26796995,0.266475,0.256717,20.0,0.002207663085082695,0.009872969459323616,12,48,15,11,1,21,11
knm_informed,0.700229,0.5497583,0.5375245,0.526235,20.0,0.008575023025625062,0.03834866878784712,16,32,31,115,1,68,115
two_local,0.495967,0.36728475,0.34698700000000005,0.311469,20.0,0.012835282967146089,0.05740113044996771,16,64,33,120,1,72,120
efficient_su2,0.409447,0.3010727,0.2984715,0.271102,20.0,0.0066268136246853794,0.029636011478036576,16,64,19,15,1,25,15
knm_informed,1.381688,0.706727,0.6316785,0.578676,20.0,0.041536794125779236,0.18575819046531267,18,36,35,139,1,76,139
two_local,0.476372,0.3421988,0.33518800000000004,0.316451,20.0,0.007620725802773161,0.03408092186577489,18,72,37,153,1,80,153
efficient_su2,0.511136,0.38001235,0.36155400000000004,0.329823,20.0,0.010971375788188914,0.049065484138171495,18,72,21,17,1,27,17
knm_informed,0.789197,0.6837577,0.677512,0.647251,20.0,0.007500363903838265,0.033542647089936116,20,40,39,163,1,84,163
two_local,0.799432,0.39197665,0.370154,0.34961,20.0,0.021776744129711426,0.0973885604053085,20,80,41,190,1,88,190
efficient_su2,0.424382,0.35662235,0.3520875,0.312032,20.0,0.0068757779744607036,0.030749413898179895,20,80,23,19,1,29,19
