ansatz,n_qubits,parameters,raw_depth,raw_two_qubit_gates,reps,transpiled_depth,transpiled_two_qubit_gates
knm_informed,4,8,7,6,1,20,6
two_local,4,16,9,6,1,24,6
efficient_su2,4,16,7,3,1,13,3
knm_informed,4,16,13,12,2,34,12
two_local,4,24,15,12,2,38,12
efficient_su2,4,24,11,6,2,20,6
knm_informed,6,12,11,15,1,28,15
two_local,6,24,13,15,1,32,15
efficient_su2,6,24,9,5,1,15,5
knm_informed,6,24,19,30,2,44,30
two_local,6,36,21,30,2,48,30
efficient_su2,6,36,13,10,2,22,10
knm_informed,8,16,15,28,1,36,28
two_local,8,32,17,28,1,40,28
efficient_su2,8,32,11,7,1,17,7
knm_informed,8,32,25,56,2,54,56
two_local,8,48,27,56,2,58,56
efficient_su2,8,48,15,14,2,24,14
knm_informed,10,20,19,45,1,44,45
two_local,10,40,21,45,1,48,45
efficient_su2,10,40,13,9,1,19,9
knm_informed,10,40,31,90,2,64,90
two_local,10,60,33,90,2,68,90
efficient_su2,10,60,17,18,2,26,18
knm_informed,12,24,23,66,1,52,66
two_local,12,48,25,66,1,56,66
efficient_su2,12,48,15,11,1,21,11
knm_informed,12,48,37,132,2,74,132
two_local,12,72,39,132,2,78,132
efficient_su2,12,72,19,22,2,28,22
