depth,initial_bitstring,lambda_fim,magnetisation,n_qubits,popcount,protocol_arm,shots,submission_status
2,0000,0.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
2,0001,0.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
2,0011,0.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
2,0111,0.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
2,1111,0.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
4,0000,0.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
4,0001,0.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
4,0011,0.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
4,0111,0.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
4,1111,0.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
6,0000,0.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
6,0001,0.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
6,0011,0.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
6,0111,0.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
6,1111,0.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
2,0000,1.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
2,0001,1.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
2,0011,1.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
2,0111,1.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
2,1111,1.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
4,0000,1.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
4,0001,1.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
4,0011,1.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
4,0111,1.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
4,1111,1.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
6,0000,1.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
6,0001,1.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
6,0011,1.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
6,0111,1.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
6,1111,1.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
2,0000,4.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
2,0001,4.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
2,0011,4.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
2,0111,4.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
2,1111,4.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
4,0000,4.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
4,0001,4.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
4,0011,4.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
4,0111,4.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
4,1111,4.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
6,0000,4.0,4,4,0,fim_sector_survival_pilot,4096,not_submitted
6,0001,4.0,2,4,1,fim_sector_survival_pilot,4096,not_submitted
6,0011,4.0,0,4,2,fim_sector_survival_pilot,4096,not_submitted
6,0111,4.0,-2,4,3,fim_sector_survival_pilot,4096,not_submitted
6,1111,4.0,-4,4,4,fim_sector_survival_pilot,4096,not_submitted
0,0000,,4,4,0,readout_baseline,4096,not_submitted
0,0001,,2,4,1,readout_baseline,4096,not_submitted
0,0010,,2,4,1,readout_baseline,4096,not_submitted
0,0011,,0,4,2,readout_baseline,4096,not_submitted
0,0100,,2,4,1,readout_baseline,4096,not_submitted
0,0101,,0,4,2,readout_baseline,4096,not_submitted
0,0110,,0,4,2,readout_baseline,4096,not_submitted
0,0111,,-2,4,3,readout_baseline,4096,not_submitted
0,1000,,2,4,1,readout_baseline,4096,not_submitted
0,1001,,0,4,2,readout_baseline,4096,not_submitted
0,1010,,0,4,2,readout_baseline,4096,not_submitted
0,1011,,-2,4,3,readout_baseline,4096,not_submitted
0,1100,,0,4,2,readout_baseline,4096,not_submitted
0,1101,,-2,4,3,readout_baseline,4096,not_submitted
0,1110,,-2,4,3,readout_baseline,4096,not_submitted
0,1111,,-4,4,4,readout_baseline,4096,not_submitted
