circuit_index,circuit_name,depth,initial_bitstring,lambda_fim,magnetisation,n_qubits,popcount,protocol_arm,raw_depth,raw_ops,raw_size,raw_two_qubit_gates,shots,submission_status,transpiled_depth,transpiled_ops,transpiled_size,transpiled_two_qubit_gates
0,fim_000_fim_sector_survival_pilot,2,0000,0.0,4,4,0,fim_sector_survival_pilot,13,"{""measure"": 4, ""rxx"": 6, ""ryy"": 6, ""rz"": 8}",24,12,4096,not_submitted,58,"{""cx"": 24, ""measure"": 4, ""rz"": 48, ""sx"": 32}",108,24
1,fim_001_fim_sector_survival_pilot,2,0001,0.0,2,4,1,fim_sector_survival_pilot,13,"{""measure"": 4, ""rxx"": 6, ""ryy"": 6, ""rz"": 8, ""x"": 1}",25,12,4096,not_submitted,58,"{""cx"": 24, ""measure"": 4, ""rz"": 48, ""sx"": 32}",108,24
2,fim_002_fim_sector_survival_pilot,2,0011,0.0,0,4,2,fim_sector_survival_pilot,13,"{""measure"": 4, ""rxx"": 6, ""ryy"": 6, ""rz"": 8, ""x"": 2}",26,12,4096,not_submitted,58,"{""cx"": 24, ""measure"": 4, ""rz"": 48, ""sx"": 32}",108,24
3,fim_003_fim_sector_survival_pilot,2,0111,0.0,-2,4,3,fim_sector_survival_pilot,14,"{""measure"": 4, ""rxx"": 6, ""ryy"": 6, ""rz"": 8, ""x"": 3}",27,12,4096,not_submitted,58,"{""cx"": 24, ""measure"": 4, ""rz"": 48, ""sx"": 32}",108,24
4,fim_004_fim_sector_survival_pilot,2,1111,0.0,-4,4,4,fim_sector_survival_pilot,14,"{""measure"": 4, ""rxx"": 6, ""ryy"": 6, ""rz"": 8, ""x"": 4}",28,12,4096,not_submitted,58,"{""cx"": 24, ""measure"": 4, ""rz"": 48, ""sx"": 32}",108,24
5,fim_005_fim_sector_survival_pilot,4,0000,0.0,4,4,0,fim_sector_survival_pilot,23,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16}",44,24,4096,not_submitted,104,"{""cx"": 48, ""measure"": 4, ""rz"": 96, ""sx"": 64}",212,48
6,fim_006_fim_sector_survival_pilot,4,0001,0.0,2,4,1,fim_sector_survival_pilot,23,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 1}",45,24,4096,not_submitted,104,"{""cx"": 48, ""measure"": 4, ""rz"": 96, ""sx"": 64}",212,48
7,fim_007_fim_sector_survival_pilot,4,0011,0.0,0,4,2,fim_sector_survival_pilot,23,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 2}",46,24,4096,not_submitted,104,"{""cx"": 48, ""measure"": 4, ""rz"": 96, ""sx"": 64}",212,48
8,fim_008_fim_sector_survival_pilot,4,0111,0.0,-2,4,3,fim_sector_survival_pilot,24,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 3}",47,24,4096,not_submitted,104,"{""cx"": 48, ""measure"": 4, ""rz"": 96, ""sx"": 64}",212,48
9,fim_009_fim_sector_survival_pilot,4,1111,0.0,-4,4,4,fim_sector_survival_pilot,24,"{""measure"": 4, ""rxx"": 12, ""ryy"": 12, ""rz"": 16, ""x"": 4}",48,24,4096,not_submitted,104,"{""cx"": 48, ""measure"": 4, ""rz"": 96, ""sx"": 64}",212,48
