initial_bitstring,magnetisation,popcount,depth,lambda_left,lambda_right,state_retention_delta_right_minus_left,magnetisation_leakage_delta_right_minus_left,parity_leakage_delta_right_minus_left,corrected_parity_leakage_delta_right_minus_left
0000,4,0,2,0.0,1.0,-0.012451171875,0.012451171875,-0.00341796875,-0.003443187407771761
0000,4,0,2,0.0,4.0,-0.027587890625,0.027587890625,0.00341796875,0.003443187407771761
0000,4,0,4,0.0,1.0,-0.080078125,0.080078125,0.038330078125,0.03861288735858337
0000,4,0,4,0.0,4.0,-0.06201171875,0.06201171875,0.0400390625,0.04033448106246926
0000,4,0,6,0.0,1.0,-0.085205078125,0.085205078125,0.044677734375,0.045007378258730926
0000,4,0,6,0.0,4.0,-0.07421875,0.07421875,0.047607421875,0.04795868175110672
0001,2,1,2,0.0,1.0,-0.062744140625,0.023681640625,0.020751953125,0.02121817274088867
0001,2,1,2,0.0,4.0,-0.066162109375,0.017333984375,0.009521484375,0.009735396904643041
0001,2,1,4,0.0,1.0,-0.0966796875,0.056396484375,0.042236328125,0.04318522216674987
0001,2,1,4,0.0,4.0,-0.107666015625,0.071533203125,0.06640625,0.06789815277084374
0001,2,1,6,0.0,1.0,-0.07666015625,0.10107421875,0.083740234375,0.0856215676485272
0001,2,1,6,0.0,4.0,-0.09228515625,0.12060546875,0.110107421875,0.11258112830753868
0011,0,2,2,0.0,1.0,-0.0537109375,0.016357421875,0.01416015625,0.01452178267401101
0011,0,2,2,0.0,4.0,-0.040771484375,0.010986328125,0.00927734375,0.00951427140711067
0011,0,2,4,0.0,1.0,-0.0546875,0.111572265625,0.0966796875,0.09914872308462694
0011,0,2,4,0.0,4.0,-0.08984375,0.11767578125,0.098388671875,0.10090135202804207
0011,0,2,6,0.0,1.0,-0.03173828125,0.1494140625,0.1279296875,0.1311967951927892
0011,0,2,6,0.0,4.0,-0.036865234375,0.1416015625,0.127197265625,0.13044566850275413
0111,-2,3,2,0.0,1.0,-0.0830078125,0.105712890625,0.084228515625,0.08738601823708206
0111,-2,3,2,0.0,4.0,-0.093505859375,0.105224609375,0.07666015625,0.07953394123606888
0111,-2,3,4,0.0,1.0,-0.076171875,0.154052734375,0.11083984375,0.11499493414387031
0111,-2,3,4,0.0,4.0,-0.077392578125,0.1572265625,0.114990234375,0.11930091185410334
0111,-2,3,6,0.0,1.0,-0.023193359375,0.20654296875,0.152587890625,0.15830800405268491
0111,-2,3,6,0.0,4.0,-0.02197265625,0.224853515625,0.161376953125,0.16742654508611954
1111,-4,4,2,0.0,1.0,-0.12255859375,0.12255859375,0.07666015625,0.08038914490527393
1111,-4,4,2,0.0,4.0,-0.125,0.125,0.083984375,0.08806963645673321
1111,-4,4,4,0.0,1.0,-0.191162109375,0.191162109375,0.134521484375,0.14106502816180236
1111,-4,4,4,0.0,4.0,-0.201416015625,0.201416015625,0.133544921875,0.14004096262160778
1111,-4,4,6,0.0,1.0,-0.275390625,0.275390625,0.185302734375,0.19431643625192013
1111,-4,4,6,0.0,4.0,-0.276611328125,0.276611328125,0.181640625,0.19047619047619047
