circuit_index,protocol_arm,n_qubits,lambda_fim,depth,initial_bitstring,magnetisation,popcount,shots,state_retention,magnetisation_leakage,parity_leakage,mean_output_magnetisation,readout_state_retention,readout_magnetisation_leakage,readout_parity_leakage,parity_leakage_readout_corrected,live_transpiled_depth,live_two_qubit_gates
0,fim_sector_survival_pilot,4,0.0,2,0000,4,0,4096,0.91455078125,0.08544921875,0.072509765625,3.79638671875,0.996337890625,0.003662109375,0.003662109375,0.06935563207083129,54,12
1,fim_sector_survival_pilot,4,0.0,2,0001,2,1,4096,0.795166015625,0.0810546875,0.07177734375,1.919921875,0.989013671875,0.010986328125,0.010986328125,0.06215676485272092,54,12
2,fim_sector_survival_pilot,4,0.0,2,0011,0,2,4096,0.75439453125,0.11669921875,0.101318359375,-0.00439453125,0.987060546875,0.012939453125,0.012451171875,0.09113670505758638,51,12
3,fim_sector_survival_pilot,4,0.0,2,0111,-2,3,4096,0.78271484375,0.063232421875,0.05810546875,-1.9404296875,0.981689453125,0.018310546875,0.01806640625,0.04154002026342452,49,12
4,fim_sector_survival_pilot,4,0.0,2,1111,-4,4,4096,0.916259765625,0.083740234375,0.074462890625,-3.81298828125,0.975830078125,0.024169921875,0.023193359375,0.053763440860215055,54,12
5,fim_sector_survival_pilot,4,0.0,4,0000,4,0,4096,0.9013671875,0.0986328125,0.075439453125,3.73876953125,0.996337890625,0.003662109375,0.003662109375,0.07230693556320708,94,24
6,fim_sector_survival_pilot,4,0.0,4,0001,2,1,4096,0.483642578125,0.1044921875,0.08984375,1.876953125,0.989013671875,0.010986328125,0.010986328125,0.08062905641537693,94,24
7,fim_sector_survival_pilot,4,0.0,4,0011,0,2,4096,0.472412109375,0.09521484375,0.08544921875,0.0068359375,0.987060546875,0.012939453125,0.012451171875,0.07486229344016024,88,24
8,fim_sector_survival_pilot,4,0.0,4,0111,-2,3,4096,0.4365234375,0.11474609375,0.102294921875,-1.85302734375,0.981689453125,0.018310546875,0.01806640625,0.08738601823708207,93,24
9,fim_sector_survival_pilot,4,0.0,4,1111,-4,4,4096,0.871337890625,0.128662109375,0.105224609375,-3.67724609375,0.975830078125,0.024169921875,0.023193359375,0.08602150537634409,88,24
10,fim_sector_survival_pilot,4,0.0,6,0000,4,0,4096,0.863037109375,0.136962890625,0.1044921875,3.630859375,0.996337890625,0.003662109375,0.003662109375,0.1015740285292671,134,36
11,fim_sector_survival_pilot,4,0.0,6,0001,2,1,4096,0.208984375,0.118896484375,0.102294921875,1.81201171875,0.989013671875,0.010986328125,0.010986328125,0.09335996005991014,134,36
12,fim_sector_survival_pilot,4,0.0,6,0011,0,2,4096,0.208251953125,0.117431640625,0.1044921875,-0.0009765625,0.987060546875,0.012939453125,0.012451171875,0.0943915873810716,126,36
13,fim_sector_survival_pilot,4,0.0,6,0111,-2,3,4096,0.1826171875,0.134765625,0.121337890625,-1.80908203125,0.981689453125,0.018310546875,0.01806640625,0.10714285714285714,133,36
14,fim_sector_survival_pilot,4,0.0,6,1111,-4,4,4096,0.844970703125,0.155029296875,0.120849609375,-3.60009765625,0.975830078125,0.024169921875,0.023193359375,0.10240655401945725,134,36
15,fim_sector_survival_pilot,4,1.0,2,0000,4,0,4096,0.902099609375,0.097900390625,0.069091796875,3.70361328125,0.996337890625,0.003662109375,0.003662109375,0.06591244466305952,172,49
16,fim_sector_survival_pilot,4,1.0,2,0001,2,1,4096,0.732421875,0.104736328125,0.092529296875,1.93798828125,0.989013671875,0.010986328125,0.010986328125,0.08337493759360959,174,49
17,fim_sector_survival_pilot,4,1.0,2,0011,0,2,4096,0.70068359375,0.133056640625,0.115478515625,0.09033203125,0.987060546875,0.012939453125,0.012451171875,0.10565848773159739,159,55
