circuit_index,protocol_arm,lambda_fim,depth,initial_bitstring,magnetisation,popcount,replicate,shots,state_retention,magnetisation_leakage,parity_leakage,mean_output_magnetisation,readout_state_retention,readout_magnetisation_leakage,readout_parity_leakage,parity_leakage_readout_corrected,live_transpiled_depth,live_two_qubit_gates
0,fim_repeated_followup,4.0,2,0001,2,1,0,2048,0.703125,0.10302734375,0.08935546875,1.9306640625,0.99072265625,0.00927734375,0.00927734375,0.08159203980099503,174,49
1,fim_repeated_followup,4.0,6,1111,-4,4,1,2048,0.63671875,0.36328125,0.25341796875,-2.9365234375,0.962890625,0.037109375,0.03662109375,0.2339304531085353,537,157
2,fim_repeated_followup,0.0,2,0111,-2,3,2,2048,0.7744140625,0.0703125,0.06591796875,-1.9130859375,0.98046875,0.01953125,0.01953125,0.048272357723577235,49,12
3,fim_repeated_followup,4.0,2,1111,-4,4,4,2048,0.8076171875,0.1923828125,0.14013671875,-3.4599609375,0.962890625,0.037109375,0.03662109375,0.11169652265542676,171,49
4,fim_repeated_followup,0.0,6,0000,4,0,3,2048,0.8671875,0.1328125,0.1025390625,3.658203125,0.994140625,0.005859375,0.005859375,0.09782608695652174,134,36
5,fim_repeated_followup,4.0,4,1111,-4,4,2,2048,0.6904296875,0.3095703125,0.2314453125,-3.154296875,0.962890625,0.037109375,0.03662109375,0.2102212855637513,354,103
6,fim_repeated_followup,4.0,6,0001,2,1,4,2048,0.1025390625,0.24462890625,0.2080078125,1.720703125,0.99072265625,0.00927734375,0.00927734375,0.20248756218905473,540,157
7,fim_repeated_followup,4.0,2,0000,4,0,3,2048,0.89013671875,0.10986328125,0.07470703125,3.6806640625,0.994140625,0.005859375,0.005859375,0.06966403162055336,172,49
8,fim_repeated_followup,4.0,4,0000,4,0,0,2048,0.8408203125,0.1591796875,0.1083984375,3.515625,0.994140625,0.005859375,0.005859375,0.10375494071146245,355,103
9,fim_repeated_followup,0.0,4,0000,4,0,3,2048,0.8896484375,0.1103515625,0.08544921875,3.7197265625,0.994140625,0.005859375,0.005859375,0.08053359683794467,94,24
10,fim_repeated_followup,0.0,4,0001,2,1,4,2048,0.484375,0.11279296875,0.095703125,1.859375,0.99072265625,0.00927734375,0.00927734375,0.0880597014925373,94,24
11,fim_repeated_followup,4.0,2,1111,-4,4,0,2048,0.82763671875,0.17236328125,0.12060546875,-3.5146484375,0.962890625,0.037109375,0.03662109375,0.09062170706006323,171,49
12,fim_repeated_followup,0.0,4,1111,-4,4,1,2048,0.86279296875,0.13720703125,0.11279296875,-3.6474609375,0.962890625,0.037109375,0.03662109375,0.0821917808219178,94,24
13,fim_repeated_followup,4.0,2,1111,-4,4,1,2048,0.81005859375,0.18994140625,0.1396484375,-3.46484375,0.962890625,0.037109375,0.03662109375,0.11116965226554268,171,49
14,fim_repeated_followup,0.0,2,0000,4,0,0,2048,0.90478515625,0.09521484375,0.08203125,3.78125,0.994140625,0.005859375,0.005859375,0.07707509881422925,54,12
15,fim_repeated_followup,4.0,6,0001,2,1,2,2048,0.09814453125,0.2353515625,0.20068359375,1.7529296875,0.99072265625,0.00927734375,0.00927734375,0.19502487562189055,540,157
16,fim_repeated_followup,0.0,6,0000,4,0,1,2048,0.86962890625,0.13037109375,0.107421875,3.67578125,0.994140625,0.005859375,0.005859375,0.10276679841897234,134,36
17,fim_repeated_followup,0.0,2,1111,-4,4,2,2048,0.91552734375,0.08447265625,0.072265625,-3.8046875,0.962890625,0.037109375,0.03662109375,0.038461538461538464,54,12
18,fim_repeated_followup,4.0,6,0011,0,2,2,2048,0.1748046875,0.2236328125,0.1953125,0.255859375,0.9873046875,0.0126953125,0.0126953125,0.187374749498998,537,157
19,fim_repeated_followup,0.0,6,1111,-4,4,3,2048,0.8349609375,0.1650390625,0.130859375,-3.578125,0.962890625,0.037109375,0.03662109375,0.10168598524762908,134,36
20,fim_repeated_followup,4.0,6,0111,-2,3,1,2048,0.19287109375,0.3095703125,0.244140625,-1.2890625,0.98046875,0.01953125,0.01953125,0.23373983739837398,536,157
21,fim_repeated_followup,4.0,6,0000,4,0,3,2048,0.791015625,0.208984375,0.138671875,3.353515625,0.994140625,0.005859375,0.005859375,0.13438735177865613,539,157
22,fim_repeated_followup,4.0,4,0111,-2,3,0,2048,0.3720703125,0.21337890625,0.16943359375,-1.5244140625,0.98046875,0.01953125,0.01953125,0.1559959349593496,353,103
23,fim_repeated_followup,0.0,6,0001,2,1,2,2048,0.20458984375,0.140625,0.12646484375,1.7900390625,0.99072265625,0.00927734375,0.00927734375,0.11940298507462686,134,36
24,fim_repeated_followup,4.0,4,0011,0,2,4,2048,0.38623046875,0.18896484375,0.166015625,0.201171875,0.9873046875,0.0126953125,0.0126953125,0.15731462925851702,354,103
25,fim_repeated_followup,0.0,6,0011,0,2,0,2048,0.20947265625,0.1259765625,0.11181640625,0.0029296875,0.9873046875,0.0126953125,0.0126953125,0.10170340681362726,126,36
26,fim_repeated_followup,0.0,2,1111,-4,4,0,2048,0.90478515625,0.09521484375,0.08251953125,-3.7802734375,0.962890625,0.037109375,0.03662109375,0.04952581664910432,54,12
27,fim_repeated_followup,0.0,4,0000,4,0,2,2048,0.89013671875,0.10986328125,0.08740234375,3.7236328125,0.994140625,0.005859375,0.005859375,0.0825098814229249,94,24
28,fim_repeated_followup,4.0,2,0111,-2,3,1,2048,0.71875,0.1396484375,0.1123046875,-1.6953125,0.98046875,0.01953125,0.01953125,0.09654471544715447,170,49
29,fim_repeated_followup,4.0,6,0111,-2,3,4,2048,0.16748046875,0.310546875,0.24072265625,-1.2900390625,0.98046875,0.01953125,0.01953125,0.2301829268292683,536,157
30,fim_repeated_followup,0.0,4,0111,-2,3,0,2048,0.45703125,0.10205078125,0.091796875,-1.84765625,0.98046875,0.01953125,0.01953125,0.07520325203252033,93,24
31,fim_repeated_followup,4.0,4,0111,-2,3,2,2048,0.37451171875,0.228515625,0.18212890625,-1.4892578125,0.98046875,0.01953125,0.01953125,0.16920731707317074,353,103
