lambda_fim,magnetisation,max_spacing,mean_r,median_r,min_spacing,n_qubits,n_spacings,scope
0.0,,1.6218352381792256,0.4878129575368707,0.45729548717776697,0.22050070506381625,4,15,full_spectrum
0.0,4,,,,,4,0,magnetisation_sector
0.0,2,2.15439799470926,0.2861586811312125,0.2861586811312125,0.5295546423936748,4,3,magnetisation_sector
0.0,0,1.3831569524243656,0.6617975946749958,0.7081564638065696,0.4168203067481582,4,5,magnetisation_sector
0.0,-2,2.397364944379604,0.5262209600816308,0.5262209600816308,0.7553829692219902,4,3,magnetisation_sector
0.0,-4,,,,,4,0,magnetisation_sector
0.25,,1.8817467514914306,0.509118188232477,0.5695980656879192,0.029499294936184695,4,15,full_spectrum
0.25,4,,,,,4,0,magnetisation_sector
0.25,2,2.1543979947092637,0.2861586811312122,0.2861586811312122,0.5295546423936748,4,3,magnetisation_sector
0.25,0,1.3831569524243656,0.6617975946749958,0.7081564638065696,0.4168203067481582,4,5,magnetisation_sector
0.25,-2,2.3973649443796043,0.5262209600816314,0.5262209600816314,0.7553829692219902,4,3,magnetisation_sector
0.25,-4,,,,,4,0,magnetisation_sector
0.5,,2.631746751491428,0.43848011652217317,0.40514470768175176,0.059407479626123694,4,15,full_spectrum
0.5,4,,,,,4,0,magnetisation_sector
0.5,2,2.154397994709261,0.28615868113121234,0.28615868113121234,0.5295546423936748,4,3,magnetisation_sector
0.5,0,1.3831569524243656,0.6617975946749958,0.7081564638065696,0.4168203067481582,4,5,magnetisation_sector
0.5,-2,2.3973649443796043,0.5262209600816296,0.5262209600816296,0.7553829692219893,4,3,magnetisation_sector
0.5,-4,,,,,4,0,magnetisation_sector
1.0,,4.13174675149143,0.38726678554824534,0.40605980061904756,0.0038516877100445157,4,15,full_spectrum
1.0,4,,,,,4,0,magnetisation_sector
1.0,2,2.1543979947092593,0.2861586811312133,0.2861586811312133,0.5295546423936761,4,3,magnetisation_sector
1.0,0,1.3831569524243656,0.6617975946749958,0.7081564638065696,0.4168203067481582,4,5,magnetisation_sector
1.0,-2,2.397364944379603,0.5262209600816298,0.5262209600816298,0.7553829692219898,4,3,magnetisation_sector
1.0,-4,,,,,4,0,magnetisation_sector
2.0,,7.131746751491429,0.34857536622289637,0.2511676799152347,0.0099083337589565,4,15,full_spectrum
2.0,4,,,,,4,0,magnetisation_sector
2.0,2,2.1543979947092615,0.28615868113121296,0.28615868113121296,0.5295546423936761,4,3,magnetisation_sector
2.0,0,1.3831569524243656,0.6617975946749958,0.7081564638065696,0.4168203067481582,4,5,magnetisation_sector
2.0,-2,2.397364944379603,0.5262209600816303,0.5262209600816303,0.7553829692219902,4,3,magnetisation_sector
2.0,-4,,,,,4,0,magnetisation_sector
4.0,,12.606000000000002,0.46620390932852585,0.4050654008677788,0.370408934269964,4,15,full_spectrum
4.0,4,,,,,4,0,magnetisation_sector
4.0,2,2.1543979947092584,0.28615868113121334,0.28615868113121334,0.5295546423936761,4,3,magnetisation_sector
4.0,0,1.3831569524243656,0.6617975946749958,0.7081564638065696,0.4168203067481582,4,5,magnetisation_sector
4.0,-2,2.397364944379603,0.5262209600816301,0.5262209600816301,0.75538296922199,4,3,magnetisation_sector
4.0,-4,,,,,4,0,magnetisation_sector
8.0,,12.605999999999998,0.527730019880283,0.499149901533379,0.3453428769154092,4,15,full_spectrum
8.0,4,,,,,4,0,magnetisation_sector
8.0,2,2.154397994709262,0.2861586811312118,0.2861586811312118,0.5295546423936734,4,3,magnetisation_sector
