initial_bitstring,observed_target_bitstring,magnetisation,popcount,depth,observable,lambda_0_mean,lambda_4_mean,delta_lambda_4_minus_0,relative_delta_to_lambda_0,welch_t,welch_p,n_lambda_0,n_lambda_4
0000,0000,4,0,2,state_retention_matrix_mitigated,0.9129867137154332,0.9007504863906747,-0.012236227324758486,-0.013402415545526077,2.362495441533881,0.0593334857590671,5,5
0000,0000,4,0,2,magnetisation_leakage_matrix_mitigated,0.0870132862845668,0.09924951360932534,0.012236227324758542,0.1406248154418785,-2.362495441533901,0.059333485759065344,5,5
0000,0000,4,0,2,parity_leakage_matrix_mitigated,0.07415904814480173,0.06548942144898928,-0.008669626695812449,-0.11690585185079883,2.6299415869326483,0.03509314042740928,5,5
0000,0000,4,0,4,state_retention_matrix_mitigated,0.8947166937826702,0.847145563582809,-0.047571130199861145,-0.05316893104871064,9.939334091018779,1.0604561546669367e-05,5,5
0000,0000,4,0,4,magnetisation_leakage_matrix_mitigated,0.1052833062173298,0.15285443641719104,0.04757113019986124,0.4518392507703273,-9.939334091018855,1.0604561546668762e-05,5,5
0000,0000,4,0,4,parity_leakage_matrix_mitigated,0.0834714559498775,0.10625512885432174,0.022783672904444247,0.2729516652749566,-4.7061191590817515,0.0017815241650830386,5,5
0000,0000,4,0,6,state_retention_matrix_mitigated,0.8681750841766168,0.799260386017399,-0.0689146981592178,-0.07937880205877709,13.757328265170045,7.632004704784597e-07,5,5
0000,0000,4,0,6,magnetisation_leakage_matrix_mitigated,0.13182491582338324,0.20073961398260096,0.06891469815921772,0.5227744522253172,-13.75732826517006,7.63200470478454e-07,5,5
0000,0000,4,0,6,parity_leakage_matrix_mitigated,0.10354590555934376,0.13181757224521828,0.028271666685874525,0.2730351000665265,-10.302669669969198,8.478207380119817e-06,5,5
0001,1000,2,1,2,state_retention_matrix_mitigated,0.7919777457899906,0.7273934134041473,-0.06458433238584327,-0.08154816562606944,12.764695787813254,0.00010732445163481823,5,5
0001,1000,2,1,2,magnetisation_leakage_matrix_mitigated,0.07643528523882102,0.09456970006331289,0.018134414824491865,0.23725187611756965,-5.188350298867338,0.0008860383308420872,5,5
0001,1000,2,1,2,parity_leakage_matrix_mitigated,0.07035681496664446,0.07803210308928726,0.007675288122642801,0.10909089796463337,-1.8164200102112718,0.11931458873616987,5,5
0001,1000,2,1,4,state_retention_matrix_mitigated,0.4846006318426323,0.3666738852019146,-0.11792674664071773,-0.2433483138317758,20.30923837583492,3.033260757247006e-06,5,5
0001,1000,2,1,4,magnetisation_leakage_matrix_mitigated,0.10540358217243376,0.15951544248333063,0.054111860310896875,0.5133778112244156,-9.203442548644365,7.3171185520064e-05,5,5
0001,1000,2,1,4,parity_leakage_matrix_mitigated,0.09030064734848926,0.13411659609273704,0.04381594874424778,0.4852229749267775,-9.012850944982617,7.324588131230617e-05,5,5
0001,1000,2,1,6,state_retention_matrix_mitigated,0.2152144398137624,0.10286068675198683,-0.11235375306177557,-0.5220549009583271,21.069266798430732,7.884694649403791e-07,5,5
0001,1000,2,1,6,magnetisation_leakage_matrix_mitigated,0.12397100095519062,0.22687148536474588,0.10290048440955527,0.8300367313058051,-15.363250172564106,1.790251898703819e-05,5,5
0001,1000,2,1,6,parity_leakage_matrix_mitigated,0.10825353688336789,0.19294914906311864,0.08469561217975075,0.7823819398252234,-15.488337236136147,1.4391403347389733e-06,5,5
0011,1100,0,2,2,state_retention_matrix_mitigated,0.7500223139469283,0.7286732332706864,-0.02134908067624186,-0.0284645940250686,2.9163521184682177,0.02075451471280201,5,5
0011,1100,0,2,2,magnetisation_leakage_matrix_mitigated,0.11092036190851666,0.10943647833245358,-0.0014838835760630775,-0.013377918630367743,0.4049157611446949,0.7001641925355945,5,5
0011,1100,0,2,2,parity_leakage_matrix_mitigated,0.094683425168863,0.09456732523597308,-0.0001160999328899126,-0.0012261906736353737,0.03433775368356423,0.9736465973748405,5,5
0011,1100,0,2,4,state_retention_matrix_mitigated,0.4808248845871974,0.40230194596448016,-0.07852293862271725,-0.16330880771724524,8.537904799522215,7.488048504081257e-05,5,5
0011,1100,0,2,4,magnetisation_leakage_matrix_mitigated,0.08596540680373274,0.1754168459171719,0.08945143911343917,1.0405515711414637,-29.458227207686072,1.1775938595782218e-07,5,5
0011,1100,0,2,4,parity_leakage_matrix_mitigated,0.07585534712893187,0.15559551895192683,0.07974017182299496,1.051213590618207,-24.37008966684152,8.792949772162481e-09,5,5
0011,1100,0,2,6,state_retention_matrix_mitigated,0.21618406161262918,0.17971868157711987,-0.03646538003550931,-0.16867746754083118,8.537888585855432,9.5447288613544e-05,5,5
0011,1100,0,2,6,magnetisation_leakage_matrix_mitigated,0.1212539349003808,0.22094687249002573,0.09969293758964493,0.8221831124206413,-17.4392619146424,3.2976950232565066e-06,5,5
0011,1100,0,2,6,parity_leakage_matrix_mitigated,0.10634150941904541,0.19372375715201384,0.08738224773296843,0.8217134420072334,-16.906205576252127,1.2289289899513495e-05,5,5
0111,1110,-2,3,2,state_retention_matrix_mitigated,0.7919000742578094,0.724795180550395,-0.06710489370741435,-0.08473909258097609,13.340959470630523,3.915114878392972e-06,5,5
0111,1110,-2,3,2,magnetisation_leakage_matrix_mitigated,0.05002867907488053,0.12933211433386702,0.07930343525898648,1.5851594870272088,-19.850121197943693,1.3218617907036142e-07,5,5
0111,1110,-2,3,2,parity_leakage_matrix_mitigated,0.042718499675251494,0.1020408845525464,0.0593223848772949,1.3886813752418063,-16.318671115869357,7.526115166113306e-07,5,5
0111,1110,-2,3,4,state_retention_matrix_mitigated,0.46686625403855114,0.3865022973504345,-0.08036395668811663,-0.17213485873725334,12.84309048220761,1.7120565472566735e-06,5,5
0111,1110,-2,3,4,magnetisation_leakage_matrix_mitigated,0.09100819578487306,0.21103784169631581,0.12002964591144276,1.3188883141378955,-23.760036364740316,1.0986079333176229e-07,5,5
0111,1110,-2,3,4,parity_leakage_matrix_mitigated,0.0799922299624344,0.16859471367170314,0.08860248370926875,1.1076386262875515,-17.75662110731783,2.255578289960174e-07,5,5
0111,1110,-2,3,6,state_retention_matrix_mitigated,0.18000495414215462,0.17213887417926607,-0.007866079962888545,-0.04369924150352271,0.7444239721329462,0.4879596406215374,5,5
0111,1110,-2,3,6,magnetisation_leakage_matrix_mitigated,0.11040949956439064,0.28847269544441484,0.1780631958800242,1.6127524948718568,-24.66719077043013,4.968880670703048e-06,5,5
0111,1110,-2,3,6,parity_leakage_matrix_mitigated,0.09619581704549784,0.22457150885574673,0.12837569181024888,1.3345246784434597,-23.437873757132365,3.835534555786467e-06,5,5
1111,1111,-4,4,2,state_retention_matrix_mitigated,0.9460202708662756,0.8495463435472466,-0.09647392731902904,-0.10197871048861075,17.10708816184819,1.402866156129928e-07,5,5
1111,1111,-4,4,2,magnetisation_leakage_matrix_mitigated,0.053979729133724515,0.15045365645275352,0.09647392731902901,1.7872251096338998,-17.107088161848214,1.4028661561299179e-07,5,5
1111,1111,-4,4,2,parity_leakage_matrix_mitigated,0.0421362636687243,0.10248679489774346,0.06035053122901916,1.4322705900906545,-11.129173143061083,3.879364963141136e-06,5,5
1111,1111,-4,4,4,state_retention_matrix_mitigated,0.9004374283722117,0.7265704093511791,-0.17386701902103263,-0.19309172802306215,17.031496493969687,1.4396827496935162e-07,5,5
1111,1111,-4,4,4,magnetisation_leakage_matrix_mitigated,0.09956257162778823,0.2734295906488209,0.17386701902103266,1.7463090414240148,-17.03149649396969,1.4396827496935112e-07,5,5
1111,1111,-4,4,4,parity_leakage_matrix_mitigated,0.07830901709416786,0.1967526236510878,0.11844360655691995,1.5125155563437809,-13.525674914791997,1.2269622910999568e-06,5,5
1111,1111,-4,4,6,state_retention_matrix_mitigated,0.8735547145546354,0.6366982317578646,-0.23685648279677085,-0.2711409816127287,20.234275787659012,1.555091491788339e-05,5,5
1111,1111,-4,4,6,magnetisation_leakage_matrix_mitigated,0.12644528544536457,0.3633017682421355,0.23685648279677093,1.8731934683251885,-20.23427578765897,1.5550914917883586e-05,5,5
1111,1111,-4,4,6,parity_leakage_matrix_mitigated,0.09742162903839689,0.2591049539694072,0.16168332493101029,1.659624526164368,-16.667473015453655,5.288599641706668e-05,5,5
