commutator_norm_M,commutator_norm_M_squared,ideal_unitary_sector_leakage,lambda_fim,max_off_sector_frobenius_norm,n_qubits
0.0,0.0,0.0,0.0,0.0,4
0.0,0.0,0.0,0.25,0.0,4
0.0,0.0,0.0,0.5,0.0,4
0.0,0.0,0.0,1.0,0.0,4
0.0,0.0,0.0,2.0,0.0,4
0.0,0.0,0.0,4.0,0.0,4
0.0,0.0,0.0,8.0,0.0,4
0.0,0.0,0.0,0.0,0.0,6
0.0,0.0,0.0,0.25,0.0,6
0.0,0.0,0.0,0.5,0.0,6
0.0,0.0,0.0,1.0,0.0,6
0.0,0.0,0.0,2.0,0.0,6
0.0,0.0,0.0,4.0,0.0,6
0.0,0.0,0.0,8.0,0.0,6
0.0,0.0,0.0,0.0,0.0,8
0.0,0.0,0.0,0.25,0.0,8
0.0,0.0,0.0,0.5,0.0,8
0.0,0.0,0.0,1.0,0.0,8
0.0,0.0,0.0,2.0,0.0,8
0.0,0.0,0.0,4.0,0.0,8
0.0,0.0,0.0,8.0,0.0,8
