dimension,ground_energy,hamiltonian,k_alpha,k_base,lambda_fim,max_energy,mean_energy,median_energy,n_qubits,omega_source,spectral_gap,spectral_width
16,-6.303000000000001,H_XY - lambda*M^2/n,0.3,0.45,0.0,6.303000000000001,1.1102230246251565e-16,0.000590895315154355,4,OMEGA_N_16_prefix,1.1317467514914288,12.606000000000002
16,-7.303000000000001,H_XY - lambda*M^2/n,0.3,0.45,0.25,5.303000000000001,-0.25,-0.014158752152936993,4,OMEGA_N_16_prefix,1.8817467514914306,12.606000000000002
16,-8.303,H_XY - lambda*M^2/n,0.3,0.45,0.5,4.396871867475059,-0.49999999999999967,-0.139158752152937,4,OMEGA_N_16_prefix,2.631746751491428,12.69987186747506
16,-10.303,H_XY - lambda*M^2/n,0.3,0.45,1.0,3.896871867475056,-1.0,-0.3891587521529368,4,OMEGA_N_16_prefix,4.13174675149143,14.199871867475057
16,-14.303,H_XY - lambda*M^2/n,0.3,0.45,2.0,2.8968718674750544,-1.9999999999999998,-1.3526005473356404,4,OMEGA_N_16_prefix,7.131746751491429,17.199871867475053
16,-22.303,H_XY - lambda*M^2/n,0.3,0.45,4.0,2.2991483122899554,-3.999999999999999,-2.091329054231034,4,OMEGA_N_16_prefix,12.606000000000002,24.602148312289955
16,-38.303,H_XY - lambda*M^2/n,0.3,0.45,8.0,2.2991483122899563,-8.0,-4.50527181282815,4,OMEGA_N_16_prefix,12.605999999999998,40.602148312289955
64,-10.793000000000001,H_XY - lambda*M^2/n,0.3,0.45,0.0,10.793000000000001,2.220446049250313e-16,-0.022679276769632245,6,OMEGA_N_16_prefix,0.44680698530075524,21.586000000000002
64,-12.293000000000001,H_XY - lambda*M^2/n,0.3,0.45,0.25,9.293000000000001,-0.24999999999999983,-0.14767031807536088,6,OMEGA_N_16_prefix,1.2801403186340838,21.586000000000002
64,-13.793000000000001,H_XY - lambda*M^2/n,0.3,0.45,0.5,8.4412049355347,-0.49999999999999933,-0.2310036514086954,6,OMEGA_N_16_prefix,2.113473651967425,22.2342049355347
64,-16.793,H_XY - lambda*M^2/n,0.3,0.45,1.0,7.418848022958898,-0.9999999999999996,-0.3976703180753601,6,OMEGA_N_16_prefix,3.780140318634098,24.211848022958897
64,-22.793,H_XY - lambda*M^2/n,0.3,0.45,2.0,6.752181356292233,-1.9999999999999998,-1.0381305897605768,6,OMEGA_N_16_prefix,7.113473651967418,29.545181356292233
64,-34.793,H_XY - lambda*M^2/n,0.3,0.45,4.0,5.469788009268109,-4.0,-2.409170771496206,6,OMEGA_N_16_prefix,13.780140318634096,40.26278800926811
64,-58.793,H_XY - lambda*M^2/n,0.3,0.45,8.0,5.469788009268108,-8.0,-4.689645255764108,6,OMEGA_N_16_prefix,21.586,64.2627880092681
256,-12.755724606401255,H_XY - lambda*M^2/n,0.3,0.45,0.0,12.473,-8.881784197001252e-16,0.05106345817380184,8,OMEGA_N_16_prefix,0.2827246064012545,25.228724606401258
256,-14.473,H_XY - lambda*M^2/n,0.3,0.45,0.25,10.491599299826687,-0.25000000000000044,-0.06980233708917213,8,OMEGA_N_16_prefix,0.5922753935987188,24.964599299826688
256,-16.473,H_XY - lambda*M^2/n,0.3,0.45,0.5,9.58360600333311,-0.5,-0.1844634209797327,8,OMEGA_N_16_prefix,1.467275393598749,26.05660600333311
256,-20.473,H_XY - lambda*M^2/n,0.3,0.45,1.0,8.583606003333093,-0.9999999999999996,-0.27986693063032214,8,OMEGA_N_16_prefix,3.2172753935987792,29.056606003333094
256,-28.473,H_XY - lambda*M^2/n,0.3,0.45,2.0,7.9285181079087526,-2.0,-0.8774080820019083,8,OMEGA_N_16_prefix,6.717275393598726,36.40151810790875
256,-44.473,H_XY - lambda*M^2/n,0.3,0.45,4.0,6.928518107908688,-4.0,-2.401728723276167,8,OMEGA_N_16_prefix,13.71727539359875,51.401518107908686
256,-76.473,H_XY - lambda*M^2/n,0.3,0.45,8.0,6.561454020933018,-8.0,-5.065841599331753,8,OMEGA_N_16_prefix,24.945999999999998,83.03445402093301
